word,meaning,repetition
aboard,배로,9
hell,지옥,9
fire,불,9
psychology,심리학,9
flaw,금,9
dairy,낙농장,9
cynical,냉소적인,9
zoo,동물원,9
soul,혼,9
reason,이성,9
expect,기대하다,9
branch,가지,9
convention,관례,9
fact,사실,9
factor,요소,9
fade,바래다,9
recover,되찾다,9
fall,떨어지다,9
clear,맑은,9
inspire,영감을 주다,9
neither,(둘중)어느쪽도 -아니다 -도 아니다,9
story,층,9
origin,기원,9
connect,잇다 이어지다,9
sophisticated,물정에 닳고 닳은,9
citizen,시민,9
network,그물세공,9
strain,잡아당기다,9
inquire,묻다,9
no,무의,9
sufficient,충분한,9
burst,파열하다,9
strawberry,딸기,9
concept,개념,9
nature,자연,9
point,점,9
dip,담그다,9
spare,여분의,9
sculpture,조각 조각하다,9
expand,펴다,9
sound,소리,9
cow,위협하다 암소,9
sorry,가엾은,9
conflict,투쟁,9
instance,실례,9
consist,-으로 이루어지다,9
invent,발명하다,9
solid,고체의,9
spouse,배우자,9
student,학생,9
south,남쪽 남쪽의 남으로,9
strict,엄중한,9
dignity,위엄,9
see,보다,9
seed,씨앗,9
discharge,짐을부리다,9
accelerate,가속하다 속도가 가해지다,9
format,(서적의)체제,9
fortunate,운좋은,9
powder,가루,9
guest,손님,9
exclude,배척하다,9
eve,"저녁, 밤",9
sheet,깔천,9
die,죽다,9
desert,버리다,9
designate,가리키다,9
serve,섬기다,9
destination,목적지,9
destruction,파괴,9
sensation,감각,9
senior,연상의,9
construct,건조하다,9
code,법전,9
atmosphere,대기,9
crazy,미친,9
evening,저녁,9
peer,동료,9
penalty,벌,9
platform,단,9
goods,상품,9
gorgeous,호화로운,9
physical,물질의,9
remote,먼,9
pet,애완동물,9
dead,죽은,9
gesture,몸짓,9
gulf,만,9
phrase,구,9
degree,도,9
village,"마을, 촌락",9
school,학교,9
distract,전환시키다,9
silver,은,9
hundred,100 100의,9
emotion,감정,9
delight,즐겁게하다 즐거워하다,9
steep,가파른 -에 담그다 잠기다 담그기,9
confess,실토하다,9
shelter,피난처,9
gentleman,신사,9
not,아니다,9
initiate,시작하다,9
decade,10년간,9
damp,축축한 습기 적시다,9
derive,이끌어 내다,9
decide,결정하다,9
disaster,천재,9
initial,처음의,9
inhibit,금하다,9
deficit,결손,9
scramble,기다,9
etc,등등,9
muscle,근육,9
justify,옳다고 하다,9
rat,쥐,9
grand,위대한,9
general,일반적인,9
blend,혼합하다,9
spectrum,스펙트럼,9
instinct,본능,9
awful,두려운,9
curve,곡선,9
elementary,기본의,9
crime,범죄,9
role,(배우의)역,9
gaze,지켜보다,9
garden,뜰,9
evolve,진화하다,9
giant,거인,9
patent,전매특허권 전매특허의,9
pollute,-을 더럽히다,9
praise,칭찬,9
hat,(테있는)모자 모자를 씌우다,9
aware,알고 있는,9
person,사람,9
frame,구조,9
govern,다스리다,9
vital,"생명의, 생명에 관한, 생명유지에 필요한, 살아 있는",9
vote,"찬부 표시, 투표, 표결",9
merge,합병하다,9
log,통나무,9
sour,시큼한 시어지다 시큼한 것,9
salon,객실,9
doctor,박사,9
scissors,가위,9
dive,뛰어들다,9
scan,시의 운율을살피다,9
satisfy,만족시키다,9
bathroom,욕실,9
cord,밧줄,9
transform,"변형(변용,변태)시키다",9
estate,토지,9
nail,손톱,9
arrange,가지런히 하다,9
possess,소유하다,9
circle,원,9
patient,인내심이 강한 환자,9
acknowledge,인정하다,9
desire,바라다,9
plot,음모,9
description,서술,9
sacred,신성한,9
congress,회의,9
feel,만져보다,9
husband,남편 절약하다,9
kick,걷어차다,9
please,기쁘게 하다,9
oblige,(의무를)별수없이 -하게하다,9
retire,퇴직하다,9
wise,슬기로운,9
nothing,아무것도 …없다,9
front,정면,9
paper,종이,9
fresh,새로운,9
deserve, -할 만하다,9
settle,등받이가 높은 긴 의자 놓다,9
ease,안락,9
passport,여권,9
fuel,연료,9
precise,정확한,9
forward,앞쪽에,9
device,고안,9
poster,포스터,9
from,"(분리,이탈,출발점,기점)-로 부터",9
there,거기에,9
portion,"일부, 부분",9
compound,성분 등을 혼합하다,9
pose,"자세, 포즈  마음가짐  꾸민 태도",9
gasoline,가솔린,9
harm,해,9
poll,투표,9
drink,마시다,9
mind,마음,9
tattoo,귀영나팔,9
victory,"승리, 전승",8
rely,믿다,8
view,"봄, 관찰, 개관, 실지 검증  보는 힘, 시계, 시야",8
pregnant,임신한 충만한,8
horse,말,8
agenda,안건,8
free,자유로운,8
age,연령,8
satellite,위성,8
preserve,"보호하다, 지키다",8
replace,되돌려 놓다,8
refuse,거절하다,8
source,원천,8
assault,습격,8
exhibit,보이다,8
frustrate,(계획 등을)좌절시키다,8
input,투입,8
explain,설명하다,8
cattle,소,8
house,집,8
tutor,가정교사,8
newspaper,신문,8
ash,회,8
creep,기다,8
elaborate,공들인,8
bare,벌거벗은,8
beef,쇠고기,8
intellectual,지적인,8
pork,돼지고기,8
eliminate,제거하다,8
incentive,자극적인,8
plan,계획,8
decent,점잖은,8
cottage,시골집,8
commence,시작하다,8
chairman,의장,8
king,왕,8
terminal,종점의,8
dam,댐,8
costume,복장,8
chance,우연,8
infect,감염시키다,8
curl,곱슬머리 머리털을 지지다,8
content,만족하여,8
society,사회,8
install,설치하다,8
curry,카레요리 카레로 맛을 내다,8
integrate,통합하다,8
criticism,비평,8
intimate,친밀한,8
clause,조항,8
judge,재판관,8
dawn,새벽 날이 새다,8
revive,소생하다,8
likely,있을 법한,8
client,소송의뢰인,8
boil,끓다,8
bird,새,8
shave,깎다,8
chat,잡담,8
bee,꿀벌,8
deliver,인도하다,8
continent,자제심이 있는,8
celebrity,명성,8
textbook,교과서,8
communicate,알리다,8
suspect,짐작하다,8
strike,치다,8
boot,목이 긴 구두,8
bounce,뛰어오르다,8
structure,구조,8
component,구성하는 성분,8
storm,폭풍,8
take,잡다,8
stay,머무르다,8
steady,확고한,8
needle,바늘 바늘로 꿰매다 바느질하다 아슬아슬한,8
crisis,위기,8
colony,식민지,8
criteria,criterion의 복수형,8
suspend,매달다,8
command,명령하다,8
nonsense,허튼 소리,8
pinch,꼬집다,8
inevitable,피할 수 없는,8
under,-아래에,8
the,art.저,8
contradict,반박하다,8
they,그들,8
standard,표준,8
brute,야수 짐승같은,8
counterpart,부본,8
spite,악의,8
stand,서다,8
some,얼만가의,8
candidate,지원자,8
car,자동차,8
adjust,맞추다,8
dictionary,사전,8
nowhere,아무데도 …없다,8
many,많은,8
population,인구,8
pitch,던지다,8
imitate,흉내내다,8
dirty,더러운,8
lamp,등,8
negative,부정적인,8
beam,광선,8
bind,매다,8
bay,만,8
lift,끌어올리다,8
moderate,절제하는,8
leap,껑충 뛰다,8
terminate,끝내다,8
conversation,회화,8
motion,운동,8
collar,칼라,8
induce,꾀다,8
monument,기념비,8
orbit,궤도,8
current,유행의,8
station,역,8
lamb,어린 양,8
monkey,원숭이,8
knock,치다,8
confident,확신하는,8
starve,굶어 죽다,8
yesterday,어제,8
wire,철사,8
grandfather,할아버지,8
bell,종,8
rival,경쟁자 경쟁하는 경쟁하다,8
glove,장갑,8
yet,아직,8
emerge,나오다,8
before,앞에,8
perform,다하다,8
trophy,전리품,8
sector,부채꼴,8
secretary,비서,8
royal,왕의,8
guy,녀석,8
desperate,절망적인,8
true,진실,8
absorb,흡수하다,8
encourage,용기를 돋우다,8
manufacture,제조하다,8
unify,하나로 하다,8
economy,절약,8
tremendous,무서운,8
salary,봉급 봉급을 주다,8
duty,의무,8
during,-동안에,8
awake,깨우다,8
rich,부자인,8
pencil,연필 연필로 쓰다,8
ignore,무시하다,8
domain,영토,8
roast,불에 쬐어 굽다 불고기 구운,8
either,어느 하나의,8
mill,멧돌,8
wipe,닦다,8
giraffe,기린,8
embarrass,난처하게 하다,8
round,둥근 원 돌아서,8
mild,온후한,8
abuse,남용,8
easy,쉬운,8
enhance,향상하다,8
oil,기름,8
cheap,값싼,8
bond,결속,8
shut,닫다,8
prison,교도소,8
rescue,구하다,8
vanish,자취를 감추다,8
left,왼쪽의,8
function,기능,8
eraser,지우는 사람,8
reach,도착하다,8
vehicle,"운반 기구, 운송 수단,  수레, 차량, 탈것",8
hurt,상처내다,8
pants,바지,8
full,가득찬,8
queen,여왕,8
meet,-을 만나다,8
fine,훌륭한,8
option,선택(권의 자유),8
envelope,봉투,8
panic,돌연한공포,8
establish,확립하다,8
logic,논리학,8
pat,톡톡 가볍게 치다,8
glass,유리,8
bread,빵,8
versus,"…대, …에 대한",8
gate,문,8
lunch,점심,8
instruct,가르치다,8
fast,빠른,8
girl,소녀,8
incident,사건,8
entertain,즐겁게 하다,8
local,장소의,8
piece,한 조각,8
manage,관리하다,8
legislate,법률을 제정하다,8
fatal,치명적인,8
property,"재산, 자산",8
false,거짓,8
heir,상속인,8
harsh,거친,8
applicant,지원자,8
receive,받다,8
ant,개미,8
harbor,항구,8
hero,영웅,8
aggressive,침략적인,8
previous,"앞의, 이전의",8
envy,질투,8
homework,숙제,8
fiber,섬유,8
photograph,사진 촬영하다,8
rail,가로장,8
prior,"이전의, 앞의",8
beat,치다,8
birth,출생,8
trade,매매,8
choose,고르다,8
crack,찰싹 소리내다 금가다 날카로운소리,8
passage,"통행, 통과",8
enthusiastic,열심인,8
marine,바다의,8
pretend,핑계삼다,8
assist,돕다,8
optimist,낙천가,8
always,늘,8
privacy,"남의 눈을 피함, 은거, 은둔, 은퇴 생활 사생활",8
pronounce,"발음하다, 음독하다",8
force,힘,8
ready,준비가 된,8
flash,번쩍임,8
opportunity,기회,8
holiday,휴일,8
recycle,재생 이용하다,8
welfare,행복,8
forget,잊다,8
material,원료,8
primary,"첫째의, 제1위의, 수위의 초등의, 초보의",8
history,역사,8
appeal,간청하다,8
advertize,광고하다,8
upper,위쪽의,8
suburb,교외,8
repeat,반복하다,8
evil,사악한,8
via,"…을 거쳐, …을 경유하여",8
remember,기억하고 있다,8
testify,증명하다,8
sum,총계,8
corner,모퉁이,8
classroom,교실,8
officer,공무원,8
decorate,장식하다,8
shop,상점,8
jeans,청바지,8
touch,닿다,8
substantial,실체의,8
blame,책망하다,8
dedicate,봉납하다,8
travel,여행하다,8
how,어떻게,8
toy,장난감 장난하다,8
constant,불변의,8
clerk,서기,8
jog,살짝 밀다 덜커덕 움직이다 고르지 않음,8
tone,음조,8
end,끝,8
cooperate,협동하다,8
that,저,8
temple,관자놀이,8
chin,턱(끝) 턱에 대다,8
neutral,중립의,8
crowd,군중,8
delicious,맛있는,8
cloud,구름,8
nice,니스(프랑스 남부의 항구도시),8
compensate,배상하다,8
swing,흔들리다,8
celebrate,경축하다,8
decision,결정,8
defend,방어하다,8
scare,위협하다,8
select,고르다,8
facilitate,쉽게하다,8
wave,물결,8
hip,엉덩이,8
president,대통령 회장,8
and,및,8
loss,잃음,8
characteristic,특유한,8
repair,수선(수정)하다,8
whale,고래,8
pop,팝,8
virtual,"사실상의, 실질상의, 실제의  허상의",8
vocabulary,"어휘, 용어수, 용어 범위",8
planet,행성,8
appreciate,감상하다,8
collapse,붕괴,8
cancer,암,8
fountain,샘,8
effect,결과,8
loan,대부,8
cease,그만두다 그치다 중지,8
enemy,적,8
because,왜냐하면,8
somewhat,약간,8
stream,시내,8
load,짐,8
reform,개정(개혁)하다,8
self,자기,8
ceiling,천장,8
confer,주다,8
symphony,교향곡,8
hazard,위험,8
value,가치,8
business,직업,8
fit,맞는,8
lock,자물쇠,8
meat,(식용짐승의)고기,8
move,움직이다,7
this,이,7
recipe,조리법,7
kitchen,부엌,7
fox,교활한 사람,7
test,시험,7
register,기록,7
report,보고,7
facility,쉬움,7
tip,끝,7
egg,알,7
throw,던지다,7
declare,선언하다,7
barn,헛간,7
disrupt,분열시키다,7
turnover,전복,7
decay,쇠퇴하다,7
dog,개,7
meanwhile,그동안,7
honest,정직한,7
would,auwill의 과거,7
guess,추측(짐작)하다,7
nephew,조카,7
parliament,의회,7
consensus,(의견 등의)일치,7
chief,우두머리,7
heel,발뒤꿈치,7
union,결합,7
picture,그림,7
chew,씹다,7
wrap,싸다,7
by,곁에,7
physics,물리학,7
consent,승낙하다,7
tease,괴롭히다,7
grade,등급,7
finance,재정,7
grass,풀밭,7
conserve,보존하다,7
rain,비,7
bull,황소,7
sell,팔다,7
display,보이다,7
likewise,"같이, 마찬가지로",7
drive,운전하다,7
dream,꿈,7
drawer,제도사,7
daughter,딸,7
defeat,패배,7
bark,짖다,7
customer,고객,7
license,면허,7
large,큰,7
town,읍,7
engage,약속하다,7
crisp,파삭파삭한,7
slim,호리호리한,7
distort,찌그러뜨리다,7
modest,겸손한,7
available,쓸모있는,7
door,문,7
employ,고용하다,7
tin,주석,7
dispose,배열하다,7
delicate,미묘한,7
mere,단순한,7
nut,견과,7
smoke,연기,7
screen,병풍,7
screw,나사,7
veteran,"노련가, 경험 많은 대가, 베테랑",7
remind,생각나게 하다,7
however,아무리,7
especially,특히,7
corn,티눈,7
individual,개인,7
novel,소설,7
doll,인형,7
insert,끼워넣다,7
sweet,단,7
slaughter,도살,7
cultivate,경작하다,7
pink,연분홍색,7
warn,경고하다,7
premier,"국무 총리, 수상",7
leak,샘,7
dry,마른,7
eventually,결국,7
train,기차,7
brush,솔,7
ordinary,보통의,7
ice,얼음,7
develop,발달하다,7
exotic,외국의,7
darling,귀여운,7
custody,보호,7
ground,땅,7
habit,습관,7
continue,계속하다,7
perfect,완전한,7
absent,부재의,7
fasten,단단히 고정시키다,7
fat,살찐,7
tenant,차지인,7
tempt,유혹하다,7
arrow,화살,7
hair,털,7
crown,왕관,7
what,무엇 무슨,7
conduct,행위 이끌다,7
premium,"할증금,  액면 초과액, 프리미엄",7
struggle,버둥거리다,7
duck,머리를 물 속에 쑥 쳐박다,7
alter,바꾸다,7
friend,친구,7
comment,논평,7
prejudice,"편견, 선입관",7
pole,폴란드사람,7
prepare,"준비하 다, 마련하다, 채비를 갖추다",7
wing,날개,7
light,빛,7
window,창,7
contrast,대조,7
money,금전,7
agency,기능,7
ambassador,대사,7
temporary,일시적인,7
bone,뼈,7
joke,농담,7
aloud,큰 소리로,7
into,-안으로,7
plenty,많음,7
chest,가슴팍,7
formula,공식,7
wool,양모,7
translate,번역하다,7
voice,"목소리, 음성, 음성",7
due,지급기일이 된,7
sit,앉다,7
rob,"강탈하다, 약탈하다, 빼앗다",7
bowl,사발,7
million,백만,7
rope,새끼,7
launch,진수시키다,7
caution,조심,7
anchor,닻,7
subtle,미묘한,7
alongside,-의 곁에,7
glue,아교,7
neglect,게을리 하다,7
neat,산뜻한,7
anniversary,기념일 예년의,7
joint,이음매,7
manner,방법,7
fee,요금,7
spoil,망쳐놓다,7
stack,낟가리,7
quit,"(의무,책임을)벗어난 떠나다",7
pair,한쌍,7
step,걷다,7
complex,합성물,7
give,주다,7
hand,손,7
acquaint,알리다,7
glory,영광,7
concrete,구체적인 응고물,7
forbid,금하다,7
steel,강철,7
breed,기르다,7
cowboy,목동,7
be,-이다,7
assign,할당하다,7
cut,베다,7
state,상태,7
earn,일하여 벌다,7
board,널빤지,7
prove,"시험하다, 실험하다, 경험하다, 시험해 보다",7
headquarters,본부,7
accept,받아들이다,7
dump,내버리다,7
grasp,붙잡다,7
goodbye,안녕히 가세요,7
invite,초대하다,7
challenge,도전,7
pile,쌓아 올린 것,7
none,아무도(조금도)-않다 조금도(결코)-않다,7
pan,남비 사금 등을 남비로 가려내다,7
link,사슬의 고리,7
consult,상의하다,7
greed,탐욕,7
career,경력,7
bow,절,7
delete,삭제하다,7
date,날짜,7
block,덩어리,7
cope,코우프(성직자의 긴 겉옷),7
underlie,-의 밑에 있다,7
context,문맥,7
tight,단단한,7
note,기록,7
dose,1회복용량 투약하다,7
fun,즐거운 생각,7
here,여기에,7
pace,한걸음,7
poem,시,7
furthermore,더우기,7
city,도시,7
distant,떨어진,7
rate,율,7
community,공동생활체,7
worship,숭배,7
wild,야생의,7
wear,입다,7
precede,-에 앞서다,7
clarify,맑게 하다,7
involve,말아넣다,7
graphic,그려 놓은 듯한,7
cheer,갈채,7
poor,"가난한 부족한, 불충분한, 빈약한",7
predict,"예언하다, 예보하다 예언하다",7
wind,바람,7
straw,짚,7
stimulate,자극하다,7
conclude,결정하다,7
coach,역마차,7
afford,여유가 있다,7
risk,위험 걸다,7
truth,진리,7
generate,낳다,7
chemistry,화학,7
fuse,신관,7
hall,회관,7
whistle,휘파람,7
head,머리,7
still,소리가 없는 아직(도),7
admire,감복하다,7
chaos,혼돈,7
happy,행운의,7
passenger,승객,7
gang,한 떼,7
case,경우,7
mathematics,수학,7
prompt,"재빠른, 신속한, 즉시 …하는",7
assess,(세금 등을)사정하다,7
heal,고치다,7
foster,기르다,7
climb,기어 오르다,7
mass,덩어리,7
academy,학술원,7
position,위치,7
acquisition,획득,7
hungry,배고픈,7
astonish,놀라게 하다,7
vertical,"수평면에 직각인, 수직의",7
number,수,7
trigger,방아쇠 재빠른,7
could,aucan의 과거,7
hospital,병원,7
lease,임대차,7
devote,바치다,7
therefore,그런 까닭에,7
sock,짧은 양말,7
obey,따르다,7
remove,옮기다,7
vessel,그릇,7
linguistic,말의,7
search,찾다,7
brew,양조하다,7
host,"주인, 집주인 노릇, 호스트",7
express,발표하다,7
utter,전적인,7
discipline,훈련,7
appropriate,적당한,7
asleep,잠들은,7
mechanism,(기계)장치,7
extra,가외의,7
mention,말하다,7
defendant,피고 피고의,7
should,aushall의 과거,7
both,쌍방의,7
evacuate,비우다,7
authentic,진짜의,7
riot,"폭동, 소요, 소동   야단법석, 다채로움,",7
sure,"확신하는, 확실한 , 틀림없는",7
hostage,볼모,7
mediate,중재하다,7
archive,기록보관소,7
beside,-의 곁에,7
rest,휴식,7
broadcast,방송하다,7
special,특별한,7
rumor,소문,7
spark,불꽃,7
impress,인상지우다,7
tower,탑,7
presume,가정하다,7
flock,무리,7
literal,문자의,7
essential,본질적인,7
widow,미망인,7
attack,공격하다,7
threat,협박,7
brown,갈색의 갈색,7
thief,도둑,7
brave,용감한,7
honor,명예,7
destiny,운명,7
vocation,"천직, 사명 직업, 생업, 장사  적성, 소질, 재능",7
violent,"격렬한, 맹렬한",7
mad,미친,7
lion,사자,7
reside,거주하다,7
soak,담그다,7
livingroom,거실,7
sort,종류,7
beyond,저편에,7
secret,비밀의,7
bundle,다발,7
demand,요구하다,7
snap,덥석 물다,7
reduce,줄이다,7
except,-을 제외하고는 제외하다,7
equipment,장비,7
create,창조하다,7
bright,밝은,7
bush,덤불,7
indeed,참으로,7
